,add_shift_start_hour,mean_treated,std_treated,ci95_halfwidth,delta_vs_baseline
0,22,133.67666666666668,10.411537957045164,1.178176431466894,5.26333333333335
1,21,132.73333333333332,11.272938957136539,1.275653130926356,4.319999999999993
2,20,132.7,11.030968871658176,1.248271638104949,4.286666666666662
3,14,132.44666666666666,10.217393960956983,1.156206970139894,4.033333333333331
4,19,132.36,10.719456882363154,1.2130207380533948,3.9466666666666868
5,12,132.29333333333332,11.37682127970389,1.2874085223584233,3.8799999999999955
6,9,132.02333333333334,10.783803764643377,1.2203022732553708,3.6100000000000136
7,13,131.85333333333332,10.66760586723584,1.2071532433352588,3.4399999999999977
8,23,131.78,9.248968124674095,1.0466192703553439,3.3666666666666742
9,6,131.51,9.639482979238222,1.0908101862107524,3.096666666666664
10,10,131.48333333333332,10.658724921179525,1.2061482696823895,3.069999999999993
11,8,131.47333333333333,10.309392195810853,1.1666175504488332,3.0600000000000023
12,17,131.45666666666668,11.106422961160638,1.256810072126547,3.0433333333333508
13,18,131.42666666666668,11.921340111570569,1.3490266288132045,3.0133333333333496
14,16,131.30666666666667,11.314859361186672,1.2803968712126808,2.893333333333345
15,11,131.16333333333333,11.055499496598356,1.2510475396358192,2.75
16,15,131.12666666666667,11.391950844156344,1.2891205937478551,2.7133333333333383
17,7,131.12,10.754120311719122,1.2169432743462567,2.7066666666666777
18,4,130.82333333333332,9.533190860470736,1.0787821006676563,2.4099999999999966
19,5,130.67666666666668,10.326385444257191,1.1685405175355534,2.2633333333333496
20,3,130.63,8.92291964456016,1.0097234115138647,2.2166666666666686
21,1,129.69,8.443035561830103,0.9554194154624377,1.2766666666666708
22,0,129.60666666666665,8.00242159558805,0.9055592514268004,1.193333333333328
23,2,129.58666666666667,9.267981107099903,1.0487707918575848,1.1733333333333462
