,step,chosen_hours,treated_mean_after_warmup,treated_ci95_halfwidth,avg_utilization_post_warmup
0,1,"(0,)",29.0,0.0,0.1126875
1,2,"(0, 6)",58.0,0.0,0.22634375
2,3,"(0, 6, 7)",87.0,0.0,0.3402534722222222
3,4,"(0, 6, 7, 8)",116.0,0.0,0.45444791666666673
4,5,"(0, 6, 7, 8, 15)",135.76666666666665,3.0581182233247297,0.528125
5,6,"(0, 6, 7, 8, 10, 15)",135.75,3.9546249451861515,0.5268090277777777
6,7,"(0, 6, 7, 8, 10, 13, 15)",137.61666666666667,4.061074422451212,0.5313888888888889
7,8,"(0, 6, 7, 8, 10, 13, 14, 15)",136.68333333333334,4.359956467503065,0.5331041666666667
